"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test","This will create a new Product","FAILURE","2021-07-20T21:53:51.247+01:00[Europe/London]","0.0","18.33"
"Product CRUD test","Verify if the Product was added to the application","ERROR","2021-07-20T21:54:09.697+01:00[Europe/London]","0.0","1.22"
"Product CURD test with steps","This test will update the product information and verify the updated information","FAILURE","2021-07-20T21:54:17.617+01:00[Europe/London]","0.0","0.17"
