"Story","Title","Result","Date","Stability","Duration (s)"
"Services CRUD test with steps","This test will create a new services and verify its generated","SUCCESS","2021-07-20T21:54:18.211+01:00[Europe/London]","0.0","0.24"
"Services CRUD test with steps","This test will get the services information by ID","SUCCESS","2021-07-20T21:54:18.448+01:00[Europe/London]","0.0","0.08"
"Services CRUD test with steps","This test will update the services information and verify the updated information","SUCCESS","2021-07-20T21:54:18.526+01:00[Europe/London]","0.0","0.1"
"Services CRUD test with steps","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2021-07-20T21:54:18.631+01:00[Europe/London]","0.0","0.18"
